"","Type","SMILES.1"
"1326","OC1=C(O)C=C(C=C(C#N)C#N)C=C1","OC1=C(O)C=C(C=C(C#N)C#N)C=C1"
"1327","OC1=CC(C=C(C#N)C#N)=CC(O)=C1O","OC1=CC(C=C(C#N)C#N)=CC(O)=C1O"
"1328","OS(O)(=O)=O.CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[N+]3=C4C=CC=NN4C=C3)=C(N2C1=O)C([O-])=O)C1=NSC(N)=N1","OS(O)(=O)=O.CO\N=C(\C(=O)N[C@H]1[C@H]2SCC(C[N+]3=C4C=CC=NN4C=C3)=C(N2C1=O)C([O-])=O)C1=NSC(N)=N1"
"1329","OC(=O)C1=NN(C(=O)C1)C1=CC=C(C=C1)S(O)(=O)=O","OC(=O)C1=NN(C(=O)C1)C1=CC=C(C=C1)S(O)(=O)=O"
"1330","O=C1NC2=C(C=CC=C2)C(=O)O1","O=C1NC2=C(C=CC=C2)C(=O)O1"
"1331","O.Cl.NC1=C2CCCC2=NC2=C1CCCC2","O.Cl.NC1=C2CCCC2=NC2=C1CCCC2"
"1332","CC1(C)N(Cl)C(=O)N(Cl)C1=O","CC1(C)N(Cl)C(=O)N(Cl)C1=O"
"1333","Cl.NC(CO)(CO)CO","Cl.NC(CO)(CO)CO"
"1334","CO[Si](C)(OC)OC","CO[Si](C)(OC)OC"
"1335","OC1=C(C=CC=C1)C(=O)OC1=CC=CC=C1","OC1=C(C=CC=C1)C(=O)OC1=CC=CC=C1"
"1336","CC1CC(CC(C)(C)C1)OC(=O)C1=C(O)C=CC=C1","CC1CC(CC(C)(C)C1)OC(=O)C1=C(O)C=CC=C1"
"1337","CC(=O)NC1=CC=C(OC(=O)C2=CC=CC=C2O)C=C1","CC(=O)NC1=CC=C(OC(=O)C2=CC=CC=C2O)C=C1"
"1338","OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1","OC1=C(C=CC=C1)C(=O)OCC1=CC=CC=C1"
"1339","CCCCC(CC)COC(=O)C1=C(O)C=CC=C1","CCCCC(CC)COC(=O)C1=C(O)C=CC=C1"
"1340","CCOC(=O)C1=C(O)C=CC=C1","CCOC(=O)C1=C(O)C=CC=C1"
"1341","CC(C(=O)OCC(=O)N(C)C)C1=CC2=C(OC3=C(C2)C=CC(C)=N3)C=C1","CC(C(=O)OCC(=O)N(C)C)C1=CC2=C(OC3=C(C2)C=CC(C)=N3)C=C1"
"1342","Cl.CC(C)C[C@@H]1[C@@H](OC(=O)N1CCCN1CCCCCC1)C1=CC=CC=C1","Cl.CC(C)C[C@@H]1[C@@H](OC(=O)N1CCCN1CCCCCC1)C1=CC=CC=C1"
"1343","CC(O)=O.CCC(N)CC1=CNC2=C1C=CC=C2","CC(O)=O.CCC(N)CC1=CNC2=C1C=CC=C2"
"1344","CC1=C(Cl)C=CC=C1Cl","CC1=C(Cl)C=CC=C1Cl"
"1345","CCN(CC)C(=O)N(CC)CC","CCN(CC)C(=O)N(CC)CC"
"1346","CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCC1=C(F)C(F)=CC(F)=C1F","CC1(C)[C@H](C=C(Cl)Cl)[C@H]1C(=O)OCC1=C(F)C(F)=CC(F)=C1F"
"1347","CC1=C(O)C(=O)C=CO1","CC1=C(O)C(=O)C=CO1"
"1348","ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl","ClC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl"
"1349","N\C(C#N)=C(/N)C#N","N\C(C#N)=C(/N)C#N"
"1350","ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O","ClC1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O"
"1351","OC1=C(Br)C=C(Br)C=C1Br","OC1=C(Br)C=C(Br)C=C1Br"
"1352","CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C","CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C"
"1353","CC(C)C[C@H](NC(C)=O)C(O)=O","CC(C)C[C@H](NC(C)=O)C(O)=O"
"1354","CC(=O)N[C@@H](CCC(O)=O)C(O)=O","CC(=O)N[C@@H](CCC(O)=O)C(O)=O"
"1355","NC(=O)N[C@@H](CCC(O)=O)C(O)=O","NC(=O)N[C@@H](CCC(O)=O)C(O)=O"
"1356","CC1=CC=C(N)C=C1S(O)(=O)=O","CC1=CC=C(N)C=C1S(O)(=O)=O"
"1357","CC1=C(C=CC=C1)C(O)=O","CC1=C(C=CC=C1)C(O)=O"
"1358","CC(CCOC(=O)C(C)=C)OC(=O)C(C)=C","CC(CCOC(=O)C(C)=C)OC(=O)C(C)=C"
"1359","OC(=O)\C=C/C(O)=O.NC1=C2C=CC=CC2=NC2=C1C(O)CCC2","OC(=O)\C=C/C(O)=O.NC1=C2C=CC=CC2=NC2=C1C(O)CCC2"
"1360","OC(=O)C1=CC=CC=C1Cl","OC(=O)C1=CC=CC=C1Cl"
"1361","NC1=C(C=CC=C1)C(O)=O","NC1=C(C=CC=C1)C(O)=O"
"1362","CC(=O)C1=CC=CC=C1O","CC(=O)C1=CC=CC=C1O"
"1363","OS(O)(=O)=O.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1","OS(O)(=O)=O.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1.[2H]C([2H])([2H])[C@H](N)CC1=CC=CC=C1"
"1364","CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC","CCCCCCCCCCOC(=O)C1=C(C=CC=C1)C(=O)OCCCCCCCC"
"1365","COC1=CC=C(C)C=C1[N+]([O-])=O","COC1=CC=C(C)C=C1[N+]([O-])=O"
"1366","CC(C)=CCOC(C)=O","CC(C)=CCOC(C)=O"
"1367","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=CC(O)=C2","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=CC(O)=C2"
"1368","CCOC(=O)CCCCCCC\C=C\C\C=C\C\C=C\CC","CCOC(=O)CCCCCCC\C=C\C\C=C\C\C=C\CC"
"1369","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O","[Na+].CCCCCCCCCCCCCCOS([O-])(=O)=O"
"1370","SCCCCCCCCS","SCCCCCCCCS"
"1371","CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl","CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl"
"1372","CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O","CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O"
"1373","[I-].CCCN1C=C[N+](C)=C1","[I-].CCCN1C=C[N+](C)=C1"
"1374","CC1=NN(C(=O)C1)C1=CC(=CC=C1)S(O)(=O)=O","CC1=NN(C(=O)C1)C1=CC(=CC=C1)S(O)(=O)=O"
"1375","CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C","CCCC[C@H]1CN(CC2CCOCC2)C(=O)OC11CCN(CC1)C1(C)CCN(CC1)C(=O)C1=C(C)N=CN=C1C"
"1376","ON=C1CCCC1","ON=C1CCCC1"
"1377","ClC1=C(Cl)C(=O)SS1","ClC1=C(Cl)C(=O)SS1"
"1378","COC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O","COC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O"
"1379","[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1","[Br-].CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1"
"1380","CCC(CC1=CC=CC=C1)(N(C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1","CCC(CC1=CC=CC=C1)(N(C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1"
"1381","CC1=CC(=O)CCC1","CC1=CC(=O)CCC1"
"1382","CC1=C(C=C(N)C=C1)[N+]([O-])=O","CC1=C(C=C(N)C=C1)[N+]([O-])=O"
"1383","CC1=CC(=C(O)C=C1)[N+]([O-])=O","CC1=CC(=C(O)C=C1)[N+]([O-])=O"
"1384","OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1","OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1"
"1385","NC1=CC(=C(O)C=C1)[N+]([O-])=O","NC1=CC(=C(O)C=C1)[N+]([O-])=O"
"1386","CN(C)[C@@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1","CN(C)[C@@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1"
"1387","COC(=O)C1=C(O)C=CC=C1","COC(=O)C1=C(O)C=CC=C1"
"1388","CC(O)C1CCCCC1","CC(O)C1CCCCC1"
"1389","O=C1NN=CC2=CC=CC=C12","O=C1NN=CC2=CC=CC=C12"
"1390","OC1=CC(=CC2=C1C=CC(NC1=CC=CC=C1)=C2)S(O)(=O)=O","OC1=CC(=CC2=C1C=CC(NC1=CC=CC=C1)=C2)S(O)(=O)=O"
"1391","Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O","Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O"
"1392","CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1","CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1"
"1393","OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1","OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1"
"1394","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1","CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1"
"1395","ClC1=CC=CC(Cl)=C1C#N","ClC1=CC=CC(Cl)=C1C#N"
"1396","CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C","CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C"
"1397","CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1","CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1"
"1398","CCC(C)OC(=O)N1CCCCC1CCO","CCC(C)OC(=O)N1CCCCC1CCO"
"1399","CC(=O)NC1CCSC1=O","CC(=O)NC1CCSC1=O"
"1400","OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1","OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1"
"1401","CC1(C)C2CCC(C)(C2)C1=O","CC1(C)C2CCC(C)(C2)C1=O"
"1402","CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C","CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C"
"1403","Cl.CC1=C(C=C(C#N)C(=O)N1)C1=CN2C=CN=C2C=C1","Cl.CC1=C(C=C(C#N)C(=O)N1)C1=CN2C=CN=C2C=C1"
"1404","O=C(C1=CC=CC=C1)C1=CC=CC=C1","O=C(C1=CC=CC=C1)C1=CC=CC=C1"
"1405","C1CCC2=C(C1)C=CC=C2","C1CCC2=C(C1)C=CC=C2"
"1406","C1=CC2=C(C=C1)C=NC=C2","C1=CC2=C(C=C1)C=NC=C2"
"1407","CC1=CC=C(C=C1)C(C)(C)O","CC1=CC=C(C=C1)C(C)(C)O"
"1408","NCC1CCC(CC1)C(O)=O","NCC1CCC(CC1)C(O)=O"
"1409","Cl.CN1C=CC2=C1C=C1CCN(C(=O)NC3=CC=CN=C3)C1=C2","Cl.CN1C=CC2=C1C=C1CCN(C(=O)NC3=CC=CN=C3)C1=C2"
"1410","[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1","[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1"
"1411","O=C1CCC2=C(O1)C=CC=C2","O=C1CCC2=C(O1)C=CC=C2"
"1412","[Na+].O=C1NC2=C(NC(=O)NC2=O)[N-]1","[Na+].O=C1NC2=C(NC(=O)NC2=O)[N-]1"
"1413","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1"
"1414","CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1","CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1"
"1415","Cl.COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1","Cl.COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1"
"1416","[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1","[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1"
"1417","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F"
"1418","OCCN(CCO)C1=CC=CC=C1","OCCN(CCO)C1=CC=CC=C1"
"1419","CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=O","CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=O"
"1420","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N","CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N"
"1421","C1=CC2=CC3=C(C=CC=C3)C=C2C=C1","C1=CC2=CC3=C(C=CC=C3)C=C2C=C1"
"1422","COC1=CC=C(C=O)C=C1OC","COC1=CC=C(C=O)C=C1OC"
"1423","OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1","OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1"
"1424","NC(=O)N1C(O)=C(C(=O)C2=CC=CS2)C2=CC(Cl)=CC=C12","NC(=O)N1C(O)=C(C(=O)C2=CC=CS2)C2=CC(Cl)=CC=C12"
"1425","CCN(CC)C1=CC=C(C=O)C=C1","CCN(CC)C1=CC=C(C=O)C=C1"
"1426","OC(=O)COC1=CC2=C(C=CC=C2)C=C1","OC(=O)COC1=CC2=C(C=CC=C2)C=C1"
"1427","CN1[C@H]2CC[C@@H]1C[C@H](O)C2","CN1[C@H]2CC[C@@H]1C[C@H](O)C2"
"1428","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1","OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1"
"1429","CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O","CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O"
"1430","CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OC(C)C","CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OC(C)C"
"1431","CCNC1=CC(O)=CC=C1C","CCNC1=CC(O)=CC=C1C"
"1432","CCCCCCCCCCCC(=O)N(CCO)CCO","CCCCCCCCCCCC(=O)N(CCO)CCO"
"1433","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C([O-])=O","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C([O-])=O"
"1434","CCC(=O)OC(C)C1=CC=CC=C1","CCC(=O)OC(C)C1=CC=CC=C1"
"1435","O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1","O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1"
"1436","CCOC(=O)C1=CC=C(O)C=C1","CCOC(=O)C1=CC=C(O)C=C1"
"1437","CC(C)COC(=O)C1=CC=CC=C1","CC(C)COC(=O)C1=CC=CC=C1"
"1438","CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N","CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N"
"1439","O=C(OCC1=CC=CC=C1)C1=CC=CC=C1","O=C(OCC1=CC=CC=C1)C1=CC=CC=C1"
"1440","CC(CC1=CC2=C(OCO2)C=C1)C=O","CC(CC1=CC2=C(OCO2)C=C1)C=O"
"1441","O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1","O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1"
"1442","CC1=CC(NC2=CC=CC=C2)=CC=C1","CC1=CC(NC2=CC=CC=C2)=CC=C1"
"1443","O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1","O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1"
"1444","O=CC1=CC=C2OCOC2=C1","O=CC1=CC=C2OCOC2=C1"
"1445","CC=CC1=CC2=C(OCO2)C=C1","CC=CC1=CC2=C(OCO2)C=C1"
"1446","COC(=O)C1=CC=C(C=C1)C(=O)OC","COC(=O)C1=CC=C(C=C1)C(=O)OC"
"1447","CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1","CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1"
"1448","O.O.O.[Na+].[Na+].NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1.NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1","O.O.O.[Na+].[Na+].NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1.NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1"
"1449","CN(C)CC1=CC=CC=C1O","CN(C)CC1=CC=CC=C1O"
"1450","CC(=O)NC1=C(C)C=CC=C1","CC(=O)NC1=C(C)C=CC=C1"
"1451","OC(=O)\C=C\C(O)=O.C[C@@H]1[C@H]2CC3=C(C=C(O)C=C3)[C@]1(C)CCN2C","OC(=O)\C=C\C(O)=O.C[C@@H]1[C@H]2CC3=C(C=C(O)C=C3)[C@]1(C)CCN2C"
"1452","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1","CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1"
"1453","COC1=CC=C(C)C=C1N","COC1=CC=C(C)C=C1N"
"1454","N1C=CC2=C1C=CC=C2","N1C=CC2=C1C=CC=C2"
"1455","CC1=NC2=C(S1)C=CC=C2","CC1=NC2=C(S1)C=CC=C2"
"1456","S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2","S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2"
"1457","OC1=C(O)C=CC=C1","OC1=C(O)C=CC=C1"
"1458","ClC1=CC(Cl)=C(Cl)C=C1","ClC1=CC(Cl)=C(Cl)C=C1"
"1459","OC(=O)COC1=CC=C(CCNS(=O)(=O)C2=CC=CC=C2)S1","OC(=O)COC1=CC=C(CCNS(=O)(=O)C2=CC=CC=C2)S1"
"1460","OC1=C(Cl)C=C(Cl)C=C1","OC1=C(Cl)C=C(Cl)C=C1"
"1461","Cl[V](Cl)(C1C=CC=C1)C1C=CC=C1","Cl[V](Cl)(C1C=CC=C1)C1C=CC=C1"
"1462","O=C1CCCC1","O=C1CCCC1"
"1463","CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1","CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1"
"1464","O=C1NCCN1","O=C1NCCN1"
"1465","CN1CCCC1","CN1CCCC1"
"1466","CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC","CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC"
"1467","CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1","CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1"
"1468","NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O","NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O"
"1469","OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1","OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1"
"1470","COC1=CC=C(O)C(=C1)C(C)(C)C","COC1=CC=C(O)C(=C1)C(C)(C)C"
"1471","N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2","N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2"
"1472","COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1","COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1"
"1473","O=C1C2=CC=CC=C2CCC2=C1C=CC=C2","O=C1C2=CC=CC=C2CCC2=C1C=CC=C2"
"1474","CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O","CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O"
"1475","O=CC=C(C1=CC=CC=C1)C1=CC=CC=C1","O=CC=C(C1=CC=CC=C1)C1=CC=CC=C1"
"1476","F[P-](F)(F)(F)(F)F.CC[N+]1(C)CCCC1","F[P-](F)(F)(F)(F)F.CC[N+]1(C)CCCC1"
"1477","[Mn+].[C-]#[O+].[C-]#[O+].[C-]#[O+].CC1C=C[C-]=C1","[Mn+].[C-]#[O+].[C-]#[O+].[C-]#[O+].CC1C=C[C-]=C1"
"1478","[O-]S(=O)(=O)C(F)(F)F.CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC","[O-]S(=O)(=O)C(F)(F)F.CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC"
"1479","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O"
"1480","[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F","[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F"
"1481","OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O","OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O"
"1482","S=C(NC1CCCCC1)NC1CCCCC1","S=C(NC1CCCCC1)NC1CCCCC1"
"1483","O.O.O.[Na+].NCCCC(O)(P(O)(O)=O)P(O)([O-])=O","O.O.O.[Na+].NCCCC(O)(P(O)(O)=O)P(O)([O-])=O"
"1484","OS(O)(=O)=O.CNC(C)(C)CC1=CC=CC=C1.CNC(C)(C)CC1=CC=CC=C1","OS(O)(=O)=O.CNC(C)(C)CC1=CC=CC=C1.CNC(C)(C)CC1=CC=CC=C1"
"1485","NC1=NC2=C(N(CC=C)C(=O)N2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","NC1=NC2=C(N(CC=C)C(=O)N2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1"
"1486","CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O","CCN(CC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O"
"1487","CCOC1=C(O)C=CC(C=O)=C1","CCOC1=C(O)C=CC(C=O)=C1"
"1488","COC1=C(O)C=CC(C=O)=C1","COC1=C(O)C=CC(C=O)=C1"
"1489","CCOC(=O)C1OC1C1=CC=CC=C1","CCOC(=O)C1OC1C1=CC=CC=C1"
"1490","C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1","C(NC1=C2N=CN=C2N=CN1)C1=CC=CC=C1"
"1491","CCN(CC)CC","CCN(CC)CC"
"1492","COP(OC)OC","COP(OC)OC"
"1493","NC1=CC(=CC=C1)S(O)(=O)=O","NC1=CC(=CC=C1)S(O)(=O)=O"
"1494","[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1","[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1"
"1495","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1","CC1=NC(NC2=CC=CC=C2)=NC(=C1)C1CC1"
"1496","Cl.CC(CN(C)C)C(C)(O)CC1=CC=C(Cl)C=C1","Cl.CC(CN(C)C)C(C)(O)CC1=CC=C(Cl)C=C1"
"1497","NC(=O)NC1=CC=C(C=C1)[As](O)(O)=O","NC(=O)NC1=CC=C(C=C1)[As](O)(O)=O"
"1498","CC(=O)NC1=CC=C(C=C1)S(Cl)(=O)=O","CC(=O)NC1=CC=C(C=C1)S(Cl)(=O)=O"
"1499","CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O","CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O"
"1500","COC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2","COC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2"
"1501","NC1=NC=C(S1)[N+]([O-])=O","NC1=NC=C(S1)[N+]([O-])=O"
"1502","Cl.Cl.CN1CCC(CC1)NC1=NC2=C(NC3=CC(Cl)=C(F)C=C3)N=CN=C2C=N1","Cl.Cl.CN1CCC(CC1)NC1=NC2=C(NC3=CC(Cl)=C(F)C=C3)N=CN=C2C=N1"
"1503","CN(C)C1=CC=CC=C1","CN(C)C1=CC=CC=C1"
"1504","CN(C)C1=CC(C)=CC=C1","CN(C)C1=CC(C)=CC=C1"
"1505","[O-][N+](=O)C1=CC=CC(Cl)=C1","[O-][N+](=O)C1=CC=CC(Cl)=C1"
"1506","OC(=O)\C=C/C(O)=O.C[C@@H](C1=C(CCN(C)C)CC2=C1C=CC=C2)C1=NC=CC=C1","OC(=O)\C=C/C(O)=O.C[C@@H](C1=C(CCN(C)C)CC2=C1C=CC=C2)C1=NC=CC=C1"
"1507","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC","CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC"
"1508","Cl.O[C@@H]1CCCN[C@H]1CC(=O)CN1C=NC2=CC(Br)=C(Cl)C=C2C1=O","Cl.O[C@@H]1CCCN[C@H]1CC(=O)CN1C=NC2=CC(Br)=C(Cl)C=C2C1=O"
"1509","CCCOC(=O)C1=CC(O)=C(O)C(O)=C1","CCCOC(=O)C1=CC(O)=C(O)C(O)=C1"
